,location_name,location_region,res_date,res_type,res_address,res_price,res_price_sqr,res_sqr,construction_year,levels,bedrooms,bathrooms,deleted,deleted_at,status,energyclass,auto_heating,solar,cooling,safe_door,gas,fireplace,furniture,student,parking,parking_flag,days_up
15987,Καλλιθέα,Αττική,2022-04-12,Διαμέρισμα,"Νέα Σμύρνη,Κέντρο",400000,3960.0,101.0,2009.0,6ος,2.0,1.0,1,2022-04-14,Καλή,Β,1,0,0,1,1,1,0,0,,0,2 days
15989,Νέα Σμύρνη,Αττική,2022-04-03,Διαμέρισμα,"Νέα Σμύρνη,Χρυσάκη",300000,2885.0,104.0,2021.0,1ος,3.0,1.0,1,2022-04-05,Υπο κατασκευή,Β+,1,0,0,1,0,1,0,0,,0,2 days
15990,Σπάτα,Αττική,2022-03-09,Μονοκατοικία,Σπάτα,140000,1400.0,100.0,1965.0,Ισόγειο,2.0,1.0,1,2022-03-21,Καλή,Η,0,0,1,0,0,0,0,0,,0,12 days
15991,Νέα Σμύρνη,Αττική,2021-07-27,Διαμέρισμα,"Άγιος Δημήτριος Αττικής,Νεκροταφείο Καλλιθέας",145000,1318.0,110.0,1969.0,1ος,2.0,1.0,1,2022-05-21,,,1,1,1,0,0,0,0,0,,0,298 days
15992,Μαρούσι,Αττική,2022-04-12,Διαμέρισμα,"Μαρούσι,Νέο Τέρμα",230000,3067.0,75.0,1968.0,Ισόγειο,2.0,1.0,1,2022-05-04,Καλή,Ζ,1,0,1,0,0,0,1,0,Κλειστό parking,1,22 days
15993,Ίλιον,Αττική,2022-05-09,Οικία,"Ίλιον,Παλατιανή",165000,1100.0,150.0,1960.0,Ισόγειο,2.0,2.0,1,2022-05-17,Ανακαινισμένο,Η,0,0,0,0,0,0,0,0,,0,8 days
15994,Αθήνα,Αττική,2022-05-28,Διαμέρισμα,"Αθήνα,Κουκάκι",250000,3125.0,80.0,1981.0,3ος,2.0,1.0,0,,Καλή,Εκρεμμεί,1,0,1,1,1,0,1,0,,0,
15995,Αχαρνές,Αττική,2021-10-27,Διαμέρισμα,"Νέα Ερυθραία,Εθνικιστών και Αναπήρων Πολέμου",470000,3615.0,130.0,2021.0,3ος,3.0,2.0,1,2022-04-15,Νεόδμητο,Α+,1,0,1,1,1,1,0,0,,0,170 days
15996,Γλυφάδα,Αττική,2022-04-26,Διαμέρισμα,"Γλυφάδα,Κέντρο",165000,3300.0,50.0,1982.0,Ημιώροφος,1.0,1.0,1,2022-05-07,Ανακαινισμένο,Δ,0,0,1,0,0,0,0,1,,0,11 days
15997,Γλυφάδα,Αττική,2022-03-20,Μεζονέτα,"Γλυφάδα,Κέντρο",1550000,9810.0,158.0,2021.0,'Αλλο,5.0,4.0,1,2022-03-21,Υπο κατασκευή,Α+,1,1,1,1,1,1,0,0,,0,1 days
15998,Καλλιθέα,Αττική,2022-05-29,Διαμέρισμα,"Παλαιό Φάληρο,Αμφιθέα",350000,3125.0,112.0,2004.0,1ος,3.0,1.0,1,2022-06-02,Άριστη,Γ,1,0,0,1,1,1,0,0,Κλειστό parking,1,4 days
15999,Χαλάνδρι,Αττική,2021-05-25,Διαμέρισμα,"Αγία Παρασκευή,Κοντόπευκο",270000,1875.0,144.0,1978.0,Ισόγειο,2.0,1.0,1,2022-06-10,,,1,1,0,0,0,0,0,0,,0,381 days
16000,Αχαρνές,Αττική,2022-05-30,Διαμέρισμα,"Κηφισιά,Νέα Κηφισιά",430000,2389.0,180.0,2007.0,'Αλλο,3.0,2.0,1,2022-05-31,Άριστη,Β,0,1,1,1,0,1,0,0,Κλειστό parking,1,1 days
16001,Διόνυσος,Αττική,2022-04-08,Μεζονέτα,Δροσιά,440000,1760.0,250.0,2000.0,'Αλλο,3.0,2.0,1,2022-06-02,Άριστη,Γ,1,0,0,1,0,1,0,0,,0,55 days
16002,Αχαρνές,Αττική,2022-04-27,Διαμέρισμα,"Μεταμόρφωση,Καναπίτσα",125000,2404.0,52.0,2004.0,1ος,1.0,,1,2022-06-10,Καλή,Δ,0,0,0,1,0,1,0,1,Parking πιλωτής,1,44 days
16003,Αθήνα,Αττική,2022-03-21,Διαμέρισμα,"Αθήνα,Κολοκυνθού",200000,2000.0,100.0,2009.0,6ος,2.0,1.0,1,2022-03-23,Άλλη κατάσταση,Α,1,0,0,0,0,0,0,0,,0,2 days
