,location_name,location_region,res_date,res_type,res_address,res_price,res_price_sqr,res_sqr,construction_year,levels,bedrooms,bathrooms,deleted,deleted_at,status,energyclass,auto_heating,solar,cooling,safe_door,gas,fireplace,furniture,student,parking,parking_flag,days_up
6457,Διόνυσος,Αττική,2022-05-09,Μεζονέτα,"Άνοιξη,Κέντρο",400000,1667.0,240.0,2021.0,'Αλλο,4.0,3.0,1,2022-05-12,Νεόδμητο,Εκρεμμεί,0,1,0,1,0,1,0,0,,0,3 days
6458,Γλυφάδα,Αττική,2022-04-10,Μεζονέτα,"Γλυφάδα,Κέντρο",900000,5114.0,176.0,1995.0,4ος,3.0,2.0,1,2022-04-20,Ανακαινισμένο,Δ,1,1,1,1,0,1,0,0,Parking πιλωτής,1,10 days
6459,Πειραιάς,Αττική,2022-06-04,Διαμέρισμα,"Πειραιάς,Ταμπούρια",120000,1200.0,100.0,1980.0,1ος,2.0,1.0,1,2022-06-07,Ανακαινισμένο,Ζ,0,0,0,0,0,0,1,0,,0,3 days
6460,Αθήνα,Αττική,2022-05-09,Διαμέρισμα,"Αθήνα,Πλατεία Αττικής",85000,1214.0,70.0,1970.0,1ος,2.0,1.0,0,,Ανακαινισμένο,Δ,0,0,1,1,0,0,0,0,,0,
6461,Γλυφάδα,Αττική,2021-04-09,Διαμέρισμα,Γλυφάδα,210000,2471.0,85.0,2005.0,2ος,2.0,1.0,1,2022-04-15,Νεόδμητο,Α,1,1,1,0,0,0,0,0,,0,371 days
6462,Ραφήνα Πικέρμι,Αττική,2022-06-04,Μονοκατοικία,Διώνη,190000,1000.0,190.0,2022.0,'Αλλο,3.0,5.0,0,,Ημιτελές,Α+,0,0,0,0,0,0,0,0,,0,
6463,Αχαρνές,Αττική,2022-03-24,Διαμέρισμα,Εθνικιστών και Αναπήρων Πολέμου,170000,2429.0,70.0,2007.0,2ος,1.0,1.0,1,2022-05-04,Άριστη,Γ,1,0,0,1,0,0,0,0,Ανοιχτό parking,1,41 days
6464,Μαρούσι,Αττική,2022-05-26,Διαμέρισμα,"Μαρούσι,Άγιοι Ανάργυροι",285000,3750.0,76.0,2022.0,1ος,2.0,1.0,1,2022-06-10,Νεόδμητο,Α+,1,0,0,1,1,0,0,0,,0,15 days
6465,Καλλιθέα,Αττική,2021-11-10,Διαμέρισμα,"Καλλιθέα,Ευαγγελίστρια",159000,3000.0,52.0,2021.0,3ος,1.0,1.0,1,2022-06-02,Υπο κατασκευή,,1,0,0,1,0,0,0,1,,0,204 days
6466,Αχαρνές,Αττική,2022-04-28,Διαμέρισμα,"Μελίσσια,Αμαλία Φλέμινγκ",200000,2041.0,98.0,2005.0,Ισόγειο,3.0,1.0,1,2022-05-07,Καλή,Γ,0,0,0,1,0,0,0,0,,0,9 days
6467,Αθήνα,Αττική,2022-04-11,Διαμέρισμα,"Αθήνα,Γκύζη",98000,1750.0,56.0,1976.0,Ισόγειο,1.0,1.0,1,2022-04-12,Ανακαινισμένο,Εκρεμμεί,1,0,0,1,1,0,0,1,,0,1 days
6468,Ελληνικό - Αργυρούπολη,Αττική,2020-01-19,Διαμέρισμα,"Γλυφάδα,Τερψιθέα",450000,4412.0,102.0,2020.0,5ος,3.0,1.0,1,2022-05-26,Νεόδμητο,Α,1,1,0,1,0,1,0,0,Υπόγειο parking,1,858 days
6469,Αίγινα,Αττική,2022-06-05,Μονοκατοικία,Αίγινα,580000,2636.0,220.0,2008.0,'Αλλο,4.0,3.0,1,2022-06-10,Καλή,,0,1,0,1,0,1,0,0,,0,5 days
6470,Παγκράτι,Αττική,2022-04-14,Διαμέρισμα,"Αθήνα,Παγκράτι",160000,2462.0,65.0,1965.0,3ος,1.0,1.0,1,2022-04-15,Άριστη,Εκρεμμεί,1,0,1,1,1,0,0,0,,0,1 days
6471,Καλλιθέα,Αττική,2022-05-20,Διαμέρισμα,"Καλλιθέα,ΟΤΕ",158000,1904.0,83.0,1985.0,1ος,2.0,1.0,1,2022-06-02,Καλή,Ε,0,0,0,0,0,0,0,0,,0,13 days
6472,Χαλάνδρι,Αττική,2022-03-24,Διαμέρισμα,"Χαλάνδρι,Δημαρχείο",250000,3623.0,69.0,2021.0,2ος,2.0,1.0,1,2022-06-07,Υπο κατασκευή,Α,1,0,0,1,0,1,0,0,Ανοιχτό parking,1,75 days
6473,Πετρούπολη,Αττική,2021-11-26,Διαμέρισμα,"Πετρούπολη,Πανόραμα",190000,2262.0,84.0,2021.0,2ος,2.0,1.0,1,2022-03-24,Υπο κατασκευή,Β,0,0,0,0,0,0,0,0,,0,118 days
6474,Αθήνα,Αττική,2022-04-03,Μεζονέτα,"Αθήνα,Κολωνός",310000,1640.0,189.0,1987.0,2ος,5.0,1.0,1,2022-04-10,Άριστη,Εκρεμμεί,1,0,1,1,0,1,0,0,,0,7 days
6476,Πειραιάς,Αττική,2022-05-03,Διαμέρισμα,"Πειραιάς,Ευαγγελίστρια",150000,2778.0,54.0,1998.0,2ος,1.0,1.0,1,2022-06-10,Άριστη,Ε,0,0,0,0,0,0,0,0,,0,38 days
6477,Ραφήνα Πικέρμι,Αττική,2015-08-13,Μονοκατοικία,Ντράφι,1300000,2476.0,525.0,1990.0,Υπερυψωμένο,10.0,4.0,0,,,,1,1,1,1,0,0,1,0,,0,
6478,Πειραιάς,Αττική,2022-03-26,Κτίριο,"Πειραιάς,Καστέλα (Προφήτης Ηλίας)",3000000,4762.0,630.0,2005.0,Ισόγειο,6.0,4.0,1,2022-04-01,Άριστη,Β,1,0,0,1,0,0,0,0,Κλειστό parking,1,6 days
6479,Αιγάλεω,Αττική,2022-05-05,Διαμέρισμα,"Αιγάλεω,Λιούμη",65000,1275.0,51.0,1985.0,Ισόγειο,2.0,1.0,1,2022-05-07,Ανακαινισμένο,Ζ,0,0,1,0,0,0,0,0,,0,2 days
6481,Περιστέρι,Αττική,2022-06-08,Μονοκατοικία,"Αθήνα,Κολωνός",160000,941.0,170.0,1955.0,Ισόγειο,3.0,,1,2022-06-10,Χρήζει ανακαίνισης,Εκρεμμεί,0,0,0,0,0,0,0,0,,0,2 days
6482,Αχαρνές,Αττική,2020-09-18,Διαμέρισμα,"Αχαρνές,Πλάτωνας",75000,938.0,80.0,1988.0,2ος,2.0,1.0,0,,Νεόδμητο,Ζ,1,0,1,1,0,0,0,0,,0,
6483,Γαλάτσι,Αττική,2020-12-03,Μονοκατοικία,Φιλοθέη,9000000,7500.0,1200.0,,Ισόγειο,,,0,,,,0,0,0,0,0,0,0,0,,0,
6484,Αθήνα,Αττική,2022-06-06,Διαμέρισμα,"Αθήνα,Πεδίον Άρεως",179000,1827.0,98.0,1955.0,2ος,2.0,1.0,1,2022-06-07,Ανακαινισμένο,Η,0,0,0,0,0,0,0,0,,0,1 days
6485,Αθήνα,Αττική,2022-05-13,Διαμέρισμα,"Αθήνα,Κυψέλη",200000,2198.0,91.0,2009.0,4ος,2.0,1.0,1,2022-06-10,Καλή,Γ,0,0,0,0,0,0,0,0,Ανοιχτό parking,1,28 days
6486,Πειραιάς,Αττική,2022-04-03,Διαμέρισμα,"Πειραιάς,Καλλίπολη",298000,2483.0,120.0,2011.0,1ος,3.0,1.0,1,2022-04-05,Άριστη,Α,1,1,0,1,0,0,0,0,Υπόγειο parking,1,2 days
6487,Αγία Παρασκευή,Αττική,2022-04-11,Διαμέρισμα,"Αγία Παρασκευή,Παράδεισος",155000,4559.0,34.0,2010.0,1ος,,1.0,1,2022-05-03,Καλή,Δ,0,0,0,0,0,0,1,0,,0,22 days
6488,Αχαρνές,Αττική,2022-04-07,Διαμέρισμα,"Μεταμόρφωση,Μποφίλια",235000,2350.0,100.0,2003.0,1ος,3.0,1.0,1,2022-04-08,Καλή,Δ,1,1,0,1,0,1,0,0,,0,1 days
6489,Αχαρνές,Αττική,2021-02-06,Μονοκατοικία,"Κηφισιά,Κάτω Κηφισιά",850000,3004.0,283.0,1984.0,Ισόγειο,6.0,4.0,0,,Άριστη,Ζ,1,0,0,0,0,1,0,0,,0,
6490,Αθήνα,Αττική,2022-03-11,Διαμέρισμα,"Αθήνα,Άγιος Παντελεήμονας",180000,928.0,194.0,1940.0,1ος,3.0,1.0,1,2022-03-17,Καλή,Εκρεμμεί,1,0,0,0,0,1,0,0,,0,6 days
6491,Ζωγράφου,Αττική,2022-05-05,Διαμέρισμα,"Αθήνα,Άγιος Θωμάς",240000,3077.0,78.0,1973.0,3ος,2.0,1.0,1,2022-05-12,Ανακαινισμένο,Εκρεμμεί,0,0,0,1,0,0,0,0,,0,7 days
6492,Άλιμος,Αττική,2022-04-05,Διαμέρισμα,"Παλαιό Φάληρο,Αγιά Βαρβάρα",306000,2234.0,137.0,1985.0,6ος,3.0,1.0,1,2022-04-10,Καλή,Ζ,1,1,0,1,1,0,0,0,,0,5 days
6493,Αθήνα,Αττική,2021-04-05,Διαμέρισμα,"Αθήνα,Πλατεία Βάθης",135000,1286.0,105.0,1960.0,4ος,3.0,1.0,0,,,,0,0,1,1,0,0,0,1,,0,
6495,Πειραιάς,Αττική,2022-02-23,Διαμέρισμα,"Πειραιάς,Πειραϊκή",110000,2200.0,50.0,1975.0,5ος,1.0,1.0,1,2022-06-10,Καλή,Εκρεμμεί,1,0,1,0,0,0,0,1,,0,107 days
6496,Βάρη - Βούλα - Βουλιαγμένη,Αττική,2022-04-07,Μεζονέτα,"Βούλα,Νέα Κάλυμνος",750000,4167.0,180.0,2008.0,'Αλλο,3.0,2.0,1,2022-05-07,Άριστη,Γ,1,1,1,1,0,1,0,0,,0,30 days
6497,Αθήνα,Αττική,2022-03-18,Διαμέρισμα,"Αθήνα,Ακαδημία Πλάτωνος",112000,2036.0,55.0,2014.0,7ος,1.0,1.0,1,2022-03-23,Νεόδμητο,Γ,1,1,0,1,0,0,0,0,Parking πιλωτής,1,5 days
6498,Αγία Παρασκευή,Αττική,2022-03-10,Διαμέρισμα,"Αγία Παρασκευή,Τσακός",305000,3675.0,83.0,,2ος,2.0,1.0,1,2022-03-24,Υπο κατασκευή,Α,1,0,1,1,1,0,0,0,Κλειστό parking,1,14 days
6499,Αχαρνές,Αττική,2022-05-03,Διαμέρισμα,"Αχαρνές,Αυλίζα",110000,1209.0,91.0,2006.0,2ος,3.0,1.0,1,2022-06-07,Καλή,Γ,0,1,0,1,0,1,0,0,Parking πιλωτής,1,35 days
6500,Διόνυσος,Αττική,2022-03-07,Μονοκατοικία,"Άγιος Στέφανος,Κέντρο",350000,1852.0,189.0,2000.0,'Αλλο,4.0,,1,2022-06-10,,Δ,1,0,0,0,0,1,0,0,,0,95 days
6501,Φιλοθέη - Ψυχικό,Αττική,2022-05-13,Διαμέρισμα,Ψυχικό,335000,3160.0,106.0,2006.0,2ος,2.0,2.0,1,2022-06-02,Άριστη,Δ,0,0,1,1,0,1,0,0,,0,20 days
6502,Βάρη - Βούλα - Βουλιαγμένη,Αττική,2022-04-20,Μεζονέτα,"Βούλα,Κάτω Βούλα",600000,4444.0,135.0,,3ος,3.0,1.0,1,2022-04-22,Υπο κατασκευή,Α+,0,1,0,1,0,1,0,0,,0,2 days
6503,Κορυδαλλός,Αττική,2022-03-29,Διαμέρισμα,Κορυδαλλός,250000,2358.0,106.0,2022.0,2ος,3.0,1.0,1,2022-05-24,Νεόδμητο,Α+,1,1,0,1,0,0,0,0,,0,56 days
6504,Άγιος Δημήτριος,Αττική,2022-04-16,Διαμέρισμα,"Άλιμος,Αμπελάκια",405000,3682.0,110.0,2022.0,4ος,3.0,1.0,1,2022-04-29,Υπο κατασκευή,Α+,1,0,0,1,0,1,0,0,,0,13 days
6505,Αθήνα,Αττική,2022-05-04,Διαμέρισμα,"Αθήνα,Νιρβάνα",65000,722.0,90.0,1974.0,1ος,2.0,1.0,0,,Καλή,Εκρεμμεί,0,0,1,0,0,0,0,0,,0,
6506,Αχαρνές,Αττική,2022-03-24,Διαμέρισμα,"Μαρούσι,Ηπειρώτικα",384000,3200.0,120.0,2022.0,1ος,3.0,2.0,1,2022-06-02,Υπο κατασκευή,Α+,1,0,0,1,1,1,0,0,,0,70 days
6507,Πειραιάς,Αττική,2022-04-18,Διαμέρισμα,"Πειραιάς,Καμίνια",125000,1389.0,90.0,1975.0,2ος,2.0,1.0,1,2022-04-20,Ανακαινισμένο,Εκρεμμεί,1,1,0,1,0,1,0,0,,0,2 days
6508,Καλλιθέα,Αττική,2022-06-02,Διαμέρισμα,"Νέα Σμύρνη,Κέντρο",400000,2500.0,160.0,1993.0,6ος,4.0,1.0,1,2022-06-10,,Εκρεμμεί,0,1,1,1,0,0,0,0,,0,8 days
6509,Ελληνικό - Αργυρούπολη,Αττική,2022-06-07,Διαμέρισμα,"Γλυφάδα,Τερψιθέα",269000,2956.0,91.0,1980.0,4ος,2.0,1.0,1,2022-06-10,Άριστη,Εκρεμμεί,0,1,0,1,0,0,1,0,Ανοιχτό parking,1,3 days
6510,Αθήνα,Αττική,2022-02-01,Διαμέρισμα,"Αθήνα,Πλατεία Βάθης",325000,1438.0,226.0,1969.0,6ος,4.0,3.0,1,2022-04-02,Καλή,Δ,1,0,1,1,0,0,0,0,,0,60 days
6511,Παλαιό Φάληρο,Αττική,2022-05-25,Διαμέρισμα,"Αθήνα,Κέντρο",90000,1636.0,55.0,1965.0,Ισόγειο,1.0,1.0,1,2022-06-02,Ανακαινισμένο,Ζ,0,0,0,0,0,0,0,1,,0,8 days
6512,Πειραιάς,Αττική,2022-05-07,Κτίριο,"Πειραιάς,Καμίνια",259000,2590.0,100.0,1950.0,Ισόγειο,3.0,2.0,1,2022-05-08,Καλή,Δ,0,0,1,1,0,1,1,0,,0,1 days
6513,Άγιοι Ανάργυροι,Αττική,2022-06-08,Διαμέρισμα,"Αθήνα,Άνω Πατήσια",120000,1212.0,99.0,1973.0,3ος,2.0,1.0,1,2022-06-10,Καλή,Ε,0,0,1,1,0,0,0,0,,0,2 days
6514,Αχαρνές,Αττική,2020-12-29,Μονοκατοικία,"Αχαρνές,Αγία Άννα",190000,1759.0,108.0,1982.0,Ισόγειο,3.0,1.0,1,2022-06-10,Ανακαινισμένο,Ζ,1,0,1,0,0,0,0,0,,0,528 days
6516,Καλλιθέα,Αττική,2022-06-02,Διαμέρισμα,"Καλλιθέα,Κέντρο",159000,3000.0,53.0,,3ος,2.0,1.0,0,,Υπο κατασκευή,Εκρεμμεί,0,1,0,1,0,0,0,0,,0,
6517,Διόνυσος,Αττική,2021-03-03,Μονοκατοικία,Διόνυσος,1350000,2500.0,540.0,2008.0,'Αλλο,4.0,5.0,1,2022-04-15,Άριστη,Α,0,1,1,1,0,1,0,0,Κλειστό parking,1,408 days
6518,Αθήνα,Αττική,2022-03-02,Κτίριο,"Αθήνα,Μουσείο",1300000,1225.0,1061.0,1998.0,Ισόγειο,,,1,2022-03-23,Καλή,Η,1,0,0,0,0,0,0,0,,0,21 days
6519,Πεντέλη,Αττική,2021-05-11,Μονοκατοικία,Πεντέλη,2000000,4444.0,450.0,1990.0,'Αλλο,7.0,6.0,0,,Καλή,Εκρεμμεί,1,0,0,0,0,1,0,0,,0,
6520,Νέα Ιωνία,Αττική,2022-02-28,Διαμέρισμα,"Ηράκλειο,Αγία Τριάδα",370000,2643.0,140.0,2020.0,4ος,3.0,1.0,1,2022-03-23,Νεόδμητο,Α,1,0,0,1,1,0,0,0,,0,23 days
6521,Αθήνα,Αττική,2022-04-16,Διαμέρισμα,"Αθήνα,Άγιος Παντελεήμονας",105000,1167.0,90.0,1975.0,4ος,2.0,1.0,1,2022-05-16,Ανακαινισμένο,Εκρεμμεί,1,0,0,1,1,0,0,0,,0,30 days
6522,Λαυρεωτική,Αττική,2016-02-11,Διαμέρισμα,Λαύριο,250000,2101.0,119.0,1995.0,3ος,2.0,1.0,0,,,,1,0,0,1,0,0,0,0,,0,
6523,Ραφήνα Πικέρμι,Αττική,2021-04-28,Μεζονέτα,Ραφήνα,290000,2397.0,121.0,2005.0,2ος,3.0,2.0,0,,Άριστη,Δ,1,1,1,1,0,1,0,0,Parking πιλωτής,1,
6524,Πεντέλη,Αττική,2019-04-16,Μονοκατοικία,"Γέρακας,Γαργηττός (Δέση)",200000,2381.0,84.0,1978.0,Ισόγειο,2.0,1.0,0,,Καλή,Ζ,1,0,0,0,0,1,0,0,Ανοιχτό parking,1,
6525,Αθήνα,Αττική,2022-04-28,Διαμέρισμα,"Αθήνα,Λόφος Σκουζέ",110000,2200.0,50.0,2021.0,5ος,1.0,1.0,1,2022-05-12,Νεόδμητο,Β+,0,0,0,0,0,0,0,0,,0,14 days
6526,Καλλιθέα,Αττική,2022-02-09,Διαμέρισμα,"Καλλιθέα,Λόφος Φιλαρέτου",290000,2990.0,89.0,2022.0,8ος,2.0,1.0,0,,Υπο κατασκευή,Α+,1,1,1,1,1,0,0,0,Υπόγειο parking,1,
6527,Λαυρεωτική,Αττική,2022-03-17,Μονοκατοικία,Κερατέα,120000,2000.0,60.0,1972.0,Ισόγειο,2.0,1.0,1,2022-03-21,Καλή,Η,1,0,1,0,0,1,0,0,,0,4 days
6528,Μαρούσι,Αττική,2021-11-04,Διαμέρισμα,"Μαρούσι,Κέντρο",295000,2107.0,140.0,1975.0,Ισόγειο,4.0,2.0,1,2022-04-14,Καλή,Η,1,1,1,0,0,0,0,0,Ανοιχτό parking,1,161 days
6529,Αχαρνές,Αττική,2022-06-01,Μεζονέτα,Θρακομακεδόνες,450000,2250.0,200.0,2013.0,Ημιυπόγειο,4.0,3.0,1,2022-06-05,Νεόδμητο,Δ,0,0,0,1,0,1,0,0,,0,4 days
6530,Νέα Σμύρνη,Αττική,2022-05-13,Διαμέρισμα,"Άγιος Δημήτριος Αττικής,Νεκροταφείο",230000,2706.0,85.0,2008.0,2ος,2.0,1.0,1,2022-05-25,Νεόδμητο,Γ,0,0,0,0,0,1,0,0,"Ανοιχτό parking, Κλειστό parking",1,12 days
6531,Αθήνα,Αττική,2022-04-13,Διαμέρισμα,"Αθήνα,Γκύζη",170000,1635.0,104.0,1962.0,2ος,3.0,1.0,0,,Ανακαινισμένο,Ε,1,0,0,1,0,0,0,0,,0,
6533,Γλυφάδα,Αττική,2022-05-16,Διαμέρισμα,"Γλυφάδα,Πανιωνία",700000,5512.0,127.0,2011.0,1ος,2.0,2.0,1,2022-05-18,Ανακαινισμένο,Β,0,0,1,0,0,0,0,0,Ανοιχτό parking,1,2 days
6534,Καλλιθέα,Αττική,2021-12-15,Διαμέρισμα,"Νέα Σμύρνη,Κέντρο",90000,1500.0,60.0,2003.0,Ισόγειο,1.0,1.0,1,2022-04-05,Άριστη,Δ,1,0,0,1,1,0,0,0,,0,111 days
6535,Κρωπία,Αττική,2021-09-15,Μονοκατοικία,Καλύβια Θορικού,200000,1333.0,150.0,,Ισόγειο,,,1,2022-04-10,Χρήζει ανακαίνισης,,0,0,0,0,0,0,0,0,,0,207 days
6536,Αργυρούπολη,Αττική,2022-04-11,Διαμέρισμα,"Αργυρούπολη,Κέντρο",485000,3731.0,125.0,2022.0,4ος,3.0,1.0,1,2022-05-07,Υπο κατασκευή,Α,1,1,0,1,0,1,0,0,,0,26 days
6537,Χαλάνδρι,Αττική,2012-02-15,Διαμέρισμα,"Χαλάνδρι,Άνω Νέο Χαλάνδρι",250000,1389.0,180.0,1985.0,1ος,4.0,2.0,1,2022-06-10,Καλή,,1,0,0,0,0,1,0,0,Ανοιχτό parking,1,3768 days
6538,Αχαρνές,Αττική,2020-01-09,Μονοκατοικία,"Νέα Ερυθραία,Καστρίτσα",800000,1455.0,550.0,1975.0,'Αλλο,6.0,3.0,0,,Χρήζει ανακαίνισης,Εκρεμμεί,1,0,0,1,0,0,0,0,Ανοιχτό parking,1,
6539,Βάρη - Βούλα - Βουλιαγμένη,Αττική,2022-05-06,Μεζονέτα,"Βουλιαγμένη,Καβούρι",2300000,2875.0,800.0,1997.0,Ισόγειο,7.0,1.0,1,2022-05-14,,Β,0,1,0,1,0,1,0,0,,0,8 days
6540,Βύρωνας,Αττική,2021-09-07,Διαμέρισμα,"Υμηττός,Κέντρο",120000,1500.0,80.0,1960.0,Ισόγειο,2.0,1.0,1,2022-06-10,Χρήζει ανακαίνισης,Ζ,0,0,0,0,0,0,0,0,,0,276 days
6541,Βάρη - Βούλα - Βουλιαγμένη,Αττική,2022-05-10,Μεζονέτα,"Βούλα,Πηγαδάκια",800000,3390.0,236.0,2011.0,'Αλλο,4.0,4.0,1,2022-06-02,Καλή,Α,0,0,0,0,0,0,0,0,,0,23 days
6542,Πειραιάς,Αττική,2021-07-03,Μονοκατοικία,"Πειραιάς,Ευαγγελίστρια",150000,2679.0,56.0,1981.0,Ισόγειο,1.0,1.0,1,2022-06-10,Καλή,Ζ,0,0,1,0,0,0,0,0,,0,342 days
6543,Αθήνα,Αττική,2022-05-26,Διαμέρισμα,"Αθήνα,Άγιος Νικόλαος",140000,1944.0,72.0,1972.0,2ος,2.0,1.0,0,,Καλή,Ζ,1,0,0,0,0,0,0,1,,0,
6544,Αθήνα,Αττική,2022-02-28,Διαμέρισμα,"Αθήνα,Άγιος Παντελεήμονας",100000,1020.0,98.0,1962.0,2ος,2.0,1.0,1,2022-03-17,Άλλη κατάσταση,Η,1,0,0,1,0,0,0,0,,0,17 days
6545,Ηλιούπολη,Αττική,2022-02-28,Διαμέρισμα,"Ηλιούπολη,Άνω Ηλιούπολη",400000,3810.0,105.0,2022.0,3ος,3.0,2.0,1,2022-06-10,Υπο κατασκευή,Β+,1,1,0,1,0,0,0,1,,0,102 days
6546,Ζωγράφου,Αττική,2022-05-13,Μεζονέτα,"Καισαριανή,Νήαρ Ηστ",390000,1950.0,200.0,2005.0,4ος,5.0,1.0,1,2022-05-20,Καλή,Γ,0,0,0,1,0,1,0,0,,0,7 days
6547,Καλλιθέα,Αττική,2022-03-24,Διαμέρισμα,"Καλλιθέα,Ευαγγελίστρια",88000,1760.0,50.0,1989.0,2ος,1.0,1.0,1,2022-03-25,Καλή,Ζ,0,0,1,0,0,0,0,0,,0,1 days
6548,Αθήνα,Αττική,2022-03-16,Διαμέρισμα,"Αθήνα,Άγιος Ιωάννης",50000,1852.0,27.0,1974.0,Υπερυψωμένο,1.0,1.0,1,2022-03-17,Άριστη,Δ,1,0,0,1,0,0,0,0,,0,1 days
6549,Αργυρούπολη,Αττική,2020-11-26,Μονοκατοικία,"Αργυρούπολη,Κέντρο",530000,3655.0,145.0,1981.0,Ισόγειο,3.0,1.0,1,2022-06-10,Άριστη,Δ,1,1,0,0,0,1,0,0,,0,561 days
6550,Καλλιθέα,Αττική,2022-04-25,Διαμέρισμα,Μοσχάτο,270000,2455.0,110.0,2003.0,3ος,3.0,1.0,1,2022-04-27,Νεόδμητο,Α,0,0,0,1,0,0,0,0,,0,2 days
6552,Καλλιθέα,Αττική,2022-05-29,Διαμέρισμα,"Νέα Σμύρνη,Χρυσάκη",400000,3846.0,104.0,2021.0,5ος,3.0,1.0,0,,Υπο κατασκευή,Β+,1,0,0,1,0,1,0,0,,0,
6553,Κορυδαλλός,Αττική,2022-03-12,Διαμέρισμα,"Νίκαια,Άσπρα Χώματα",65000,1182.0,55.0,1975.0,2ος,1.0,1.0,1,2022-06-10,Χρήζει ανακαίνισης,Ζ,1,0,0,1,0,0,0,1,,0,90 days
6554,Χαλάνδρι,Αττική,2022-03-17,Μεζονέτα,"Χαλάνδρι,Πάτημα",450000,1607.0,280.0,2006.0,Ισόγειο,4.0,1.0,1,2022-03-21,Νεόδμητο,Μη αποδοτικό,1,1,0,1,1,1,0,0,,0,4 days
6555,Άλιμος,Αττική,2022-03-21,Διαμέρισμα,"Άλιμος,Καλαμάκι",365000,3510.0,104.0,2021.0,1ος,3.0,1.0,1,2022-03-23,Νεόδμητο,Α,1,1,0,1,0,1,0,0,,0,2 days
6556,Καλλιθέα,Αττική,2017-05-08,Διαμέρισμα,"Καλλιθέα,Χρυσάκη",339000,2338.0,145.0,1980.0,2ος,3.0,1.0,0,,Άλλη κατάσταση,Εκρεμμεί,0,1,0,0,0,1,0,0,,0,
6557,Παλαιό Φάληρο,Αττική,2022-03-27,Διαμέρισμα,"Παλαιό Φάληρο,Πλατεία Ντάβαρη",220000,2529.0,87.0,1965.0,Ισόγειο,2.0,1.0,1,2022-04-05,Καλή,Η,1,0,0,0,0,0,0,0,,0,9 days
6558,Καλλιθέα,Αττική,2022-05-08,Διαμέρισμα,"Αθήνα,Δουργούτι",280000,3043.0,92.0,1972.0,5ος,3.0,1.0,1,2022-06-02,Ανακαινισμένο,Ε,0,0,0,1,0,0,0,0,,0,25 days
6559,Ελληνικό - Αργυρούπολη,Αττική,2021-09-24,Διαμέρισμα,"Γλυφάδα,Άνω Γλυφάδα",250000,3086.0,81.0,1994.0,2ος,2.0,1.0,1,2022-06-10,Άλλη κατάσταση,Γ,0,0,0,0,0,0,0,0,,0,259 days
6560,Αθήνα,Αττική,2022-01-28,Κτίριο,"Αθήνα,Α΄ Νεκροταφείο",2900000,7398.0,392.0,1986.0,'Αλλο,7.0,6.0,1,2022-06-10,Άριστη,Β+,1,0,1,1,0,1,0,0,,0,133 days
6561,Διόνυσος,Αττική,2020-04-17,Μεζονέτα,Διόνυσος,370000,1088.0,340.0,2012.0,Ισόγειο,5.0,4.0,1,2022-06-07,Νεόδμητο,Γ,0,0,0,0,0,1,0,0,,0,781 days
6562,Κρωπία,Αττική,2021-09-20,Μονοκατοικία,"Αγία Μαρίνα,Άγιος Δημήτριος",500000,1316.0,380.0,2005.0,'Αλλο,8.0,3.0,1,2022-06-10,Ημιτελές,Β,1,0,0,1,0,1,0,0,,0,263 days
6563,Ελληνικό - Αργυρούπολη,Αττική,2022-02-21,Διαμέρισμα,"Γλυφάδα,Αίγλη",440000,3520.0,125.0,2021.0,1ος,3.0,3.0,1,2022-04-09,Υπο κατασκευή,Α+,1,0,1,1,0,1,0,0,,0,47 days
6564,Νίκαια,Αττική,2022-06-02,Μονοκατοικία,"Νίκαια,Ευαγγελίστρια",280000,1217.0,230.0,2006.0,Ισόγειο,4.0,1.0,1,2022-06-10,Ανακαινισμένο,Δ,0,1,0,0,0,1,0,0,,0,8 days
6565,Αθήνα,Αττική,2022-04-11,Διαμέρισμα,"Αθήνα,Πλατεία Αμερικής",60000,1132.0,53.0,1971.0,2ος,1.0,1.0,1,2022-04-12,Καλή,Η,0,0,0,0,0,0,1,0,,0,1 days
6566,Χολαργός,Αττική,2021-10-13,Διαμέρισμα,"Χολαργός,Πλατεία Δημοκρατίας",500000,4673.0,107.0,2010.0,4ος,2.0,2.0,1,2022-06-10,Νεόδμητο,Γ,1,1,1,1,1,1,0,0,,0,240 days
6567,Άλιμος,Αττική,2022-05-26,Διαμέρισμα,"Άλιμος,Καλαμάκι",370000,4022.0,92.0,2022.0,4ος,2.0,1.0,1,2022-05-27,Υπο κατασκευή,Α,0,0,0,1,0,1,0,0,,0,1 days
6568,Παλαιό Φάληρο,Αττική,2022-03-14,Διαμέρισμα,"Παλαιό Φάληρο,Τροκαντερό",305000,3466.0,88.0,2022.0,7ος,2.0,1.0,1,2022-03-17,Υπο κατασκευή,Α,1,0,0,1,0,0,0,0,,0,3 days
6570,Δάφνη,Αττική,2021-01-10,Διαμέρισμα,"Υμηττός,Όρια Υμηττού",150000,1807.0,83.0,1980.0,2ος,2.0,1.0,1,2022-06-10,Άριστη,Δ,0,1,0,1,0,0,0,0,,0,516 days
6571,Αχαρνές,Αττική,2019-10-24,Μονοκατοικία,"Κηφισιά,Κεφαλάρι",2000000,6667.0,300.0,1980.0,Ισόγειο,4.0,,0,,Άλλη κατάσταση,Ε,0,0,0,0,0,0,0,0,,0,
